FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,1,4,10,2,1,7,10,-2,2022/12/28/14:05:41,00:00:01.1,00:00:01.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,2,3,7,2,1,7,4,20,2022/12/28/14:05:41,00:00:06.7,00:00:07.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,3,3,7,2,3,7,0,20,2022/12/28/14:05:41,00:00:07.8,00:00:09.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,4,3,7,2,2,7,4,6,2022/12/28/14:05:41,00:00:11.9,00:00:12.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,5,3,7,4,2,7,4,20,2022/12/28/14:05:41,00:00:12.5,00:00:18.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,6,3,10,4,1,10,9,-20,2022/12/28/14:05:41,00:00:19.0,00:00:19.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,7,3,10,2,1,10,9,20,2022/12/28/14:05:41,00:00:21.1,00:00:22.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,8,3,7,1,2,7,3,-20,2022/12/28/14:05:41,00:00:23.5,00:00:23.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,9,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:00:25.4,00:00:27.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,10,3,7,2,1,7,4,20,2022/12/28/14:05:41,00:00:27.4,00:00:28.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,11,3,7,1,1,7,3,6,2022/12/28/14:05:41,00:00:29.7,00:00:30.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,12,3,7,4,2,7,4,20,2022/12/28/14:05:41,00:00:31.8,00:00:33.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,13,3,7,1,1,7,3,20,2022/12/28/14:05:41,00:00:34.0,00:00:34.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,14,3,7,2,2,7,4,20,2022/12/28/14:05:41,00:00:37.8,00:00:38.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,15,3,7,0,1,7,3,12,2022/12/28/14:05:41,00:00:38.6,00:00:38.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,16,3,7,2,1,7,4,20,2022/12/28/14:05:41,00:00:39.7,00:00:40.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,17,3,7,2,2,7,4,-2,2022/12/28/14:05:41,00:00:41.2,00:00:41.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,18,3,10,2,1,10,4,17,2022/12/28/14:05:41,00:00:43.0,00:00:43.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,19,3,7,2,2,7,4,18,2022/12/28/14:05:41,00:00:44.2,00:00:46.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,20,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:00:49.7,00:00:50.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,21,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:00:52.1,00:00:54.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,22,3,7,2,1,7,3,20,2022/12/28/14:05:41,00:00:57.2,00:00:57.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,23,3,10,1,2,10,3,20,2022/12/28/14:05:41,00:01:00.4,00:01:01.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,24,3,7,2,1,7,4,20,2022/12/28/14:05:41,00:01:01.7,00:01:03.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,25,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:01:04.0,00:01:05.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,26,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:01:05.9,00:01:06.8,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,27,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:01:07.2,00:01:07.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,28,3,7,2,1,7,3,20,2022/12/28/14:05:41,00:01:08.8,00:01:09.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,29,4,10,1,1,7,10,-20,2022/12/28/14:05:41,00:01:10.4,00:01:10.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,30,3,7,2,2,7,4,-20,2022/12/28/14:05:41,00:01:12.2,00:01:13.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,31,3,7,4,2,7,4,20,2022/12/28/14:05:41,00:01:17.7,00:01:18.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,32,3,10,2,2,10,4,-20,2022/12/28/14:05:41,00:01:19.0,00:01:19.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,33,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:01:23.0,00:01:24.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,34,3,10,2,2,10,4,-20,2022/12/28/14:05:41,00:01:25.4,00:01:25.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,35,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:01:26.7,00:01:28.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,36,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:01:29.1,00:01:30.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,37,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:01:31.4,00:01:32.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,38,3,7,2,1,7,4,13,2022/12/28/14:05:41,00:01:33.6,00:01:34.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,39,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:01:34.9,00:01:35.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,40,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:01:37.1,00:01:37.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,41,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:01:41.4,00:01:43.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,42,3,7,2,1,7,4,20,2022/12/28/14:05:41,00:01:48.1,00:01:48.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,43,3,7,2,1,7,4,14,2022/12/28/14:05:41,00:01:52.6,00:01:53.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,44,3,7,4,2,7,4,19,2022/12/28/14:05:41,00:01:54.8,00:01:57.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,45,3,7,2,1,7,4,20,2022/12/28/14:05:41,00:02:00.0,00:02:01.7,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,46,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:02:02.5,00:02:07.1,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,47,3,10,2,1,10,9,17,2022/12/28/14:05:41,00:02:08.4,00:02:08.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,48,3,10,4,1,10,4,20,2022/12/28/14:05:41,00:02:09.6,00:02:10.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,49,3,10,4,1,10,4,17,2022/12/28/14:05:41,00:02:11.5,00:02:13.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,50,3,10,2,1,10,4,-3,2022/12/28/14:05:41,00:02:13.7,00:02:14.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,51,3,10,2,2,10,4,20,2022/12/28/14:05:41,00:02:16.0,00:02:17.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,52,3,7,2,1,7,4,-1,2022/12/28/14:05:41,00:02:19.8,00:02:20.3,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,53,3,10,4,1,10,3,12,2022/12/28/14:05:41,00:02:20.6,00:02:21.3,1,OK
