FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,1,1,10,10,1,9,1,-6,2023/01/09/12:50:08,00:00:00.0,00:00:02.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.6,4.7,4.3,0,0,5,2,2.7,6.5,3.8,1,0,5,6.5,1.6,5.2,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,2,3,9,4,1,9,1,3,2023/01/09/12:50:08,00:00:02.0,00:00:04.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,5.7,4.3,0,0,5,2,5,3.3,3.7,0.5,0,6,4.5,3.5,5.3,4.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,3,1,4,4,0,2,4,-5,2023/01/09/12:50:08,00:00:04.0,00:00:06.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3.2,5.1,0,0,5,2,0.4,0,5,1,0,5,0.9,2.6,4.4,5.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,4,4,10,3,1,2,10,-1,2023/01/09/12:50:08,00:00:06.0,00:00:08.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2.9,3.9,0,0,5,2,6,4.8,5,0.5,0,10,5.1,4.5,5,4.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,5,4,10,2,1,2,10,-12,2023/01/09/12:50:08,00:00:08.0,00:00:10.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3.6,0.8,5.1,0,0,5,2,5.1,6.8,4.6,0,0,0,5.1,5.2,3.6,3.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,6,4,3,2,1,2,3,3,2023/01/09/12:50:08,00:00:10.0,00:00:12.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3.5,3.7,0,0,5,2,0,0,5,1,0,5,1.5,5.2,5.7,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,7,4,3,2,1,2,3,1,2023/01/09/12:50:08,00:00:12.0,00:00:14.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.1,3.7,5.7,0,0,5,2,6.8,5.8,5,1,0,5,2.9,4.1,4.5,4.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,8,4,10,2,1,2,10,-9,2023/01/09/12:50:08,00:00:14.0,00:00:16.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1.4,5.1,0,0,5,2,9,7.5,5,1,0,5,5.1,4.1,4.6,4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,9,4,4,2,1,2,4,-16,2023/01/09/12:50:08,00:00:16.0,00:00:18.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.4,0.8,5,0,0,5,2,0.6,0,5,0.5,0,10,5,3.4,4.7,4.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,10,4,10,2,1,2,10,-7,2023/01/09/12:50:08,00:00:18.0,00:00:20.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.9,1.5,5,0,0,5,2,10,2.6,5,0.5,0,10,5,4.5,4.3,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,11,4,10,3,1,2,10,-9,2023/01/09/12:50:08,00:00:20.0,00:00:22.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8,1.2,4.7,0,0,5,2,10,4.6,5,0,0,0,1.7,4.9,4.2,4.8,0
