FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,1,3,9,4,4,9,1,3,2023/01/09/12:50:04,00:00:00.0,00:00:02.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.4,5,4.5,0,0,5,2,3,7.4,3.4,1,0,5,8.2,3.9,4.5,3.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,2,2,10,4,10,2,1,5,2023/01/09/12:50:04,00:00:02.0,00:00:04.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.9,5.3,6.9,0,0,5,2,5.5,6.6,8.2,2,0.6,5,8.2,4.5,6.3,6.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,3,2,10,4,10,2,1,4,2023/01/09/12:50:04,00:00:04.0,00:00:06.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.8,5.4,5.6,0,0,5,2,7,5.5,7.3,1,0,5,8.5,3.8,4.9,3.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,4,2,10,4,10,9,1,4,2023/01/09/12:50:04,00:00:06.0,00:00:08.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7.1,6.3,7.9,0,0,5,2,9.5,5.3,9,1.5,2.8,10,8.8,3.3,6,5.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,5,2,10,4,10,9,1,8,2023/01/09/12:50:04,00:00:08.0,00:00:10.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.7,4.7,4,0,0,5,2,7.4,5.3,1.6,0.5,0,6,8.9,6.6,3.1,4.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,6,2,10,4,10,2,1,2,2023/01/09/12:50:04,00:00:10.0,00:00:12.0,1,OK,-,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6.6,4.7,4.8,0,0,5,2,8.9,8.3,10,2,1.2,5,8.1,3.6,4.9,5.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,7,2,10,4,10,9,1,8,2023/01/09/12:50:04,00:00:12.0,00:00:14.0,1,OK,-,-,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7.2,6.6,7.8,0,0,5,2,7.8,6,3.9,1.5,0.7,6,8.9,4.6,5.8,4.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,8,2,10,1,10,9,1,13,2023/01/09/12:50:04,00:00:14.0,00:00:16.0,1,OK,-,-,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7.4,8.9,10,0,0,5,2,9.6,4.8,5,2,0,7,8.8,5.3,5.2,4.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,9,2,10,4,10,9,1,12,2023/01/09/12:50:04,00:00:16.0,00:00:18.0,1,OK,-,-,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.3,8.6,5.8,0,0,5,2,5,8.1,1,1,0,7,8.9,5,5.7,6.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,10,2,10,1,10,9,1,8,2023/01/09/12:50:04,00:00:18.0,00:00:20.0,1,OK,-,-,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7.4,6.8,5.9,0,0,5,2,0.8,0,5,1.5,0.7,10,8.8,4.6,5.1,3.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,11,2,10,4,10,9,1,11,2023/01/09/12:50:04,00:00:20.0,00:00:22.0,1,OK,-,-,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7.2,8.1,2.6,0,0,5,2,8.8,8.9,0,2,0.6,7,9.5,5.1,4.7,3.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,12,2,10,1,10,9,1,12,2023/01/09/12:50:04,00:00:22.0,00:00:24.0,1,OK,-,-,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7.5,8.9,0,0,0,5,2,5.2,6.2,5,1,0,5,8.9,4.8,5.4,5.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,13,2,10,4,10,2,1,3,2023/01/09/12:50:04,00:00:24.0,00:00:26.0,1,OK,-,-,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6.7,4.3,5.2,0,0,5,2,6.2,5.4,6.8,0.5,0,6,8.8,4.4,5.4,6.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,14,2,10,4,10,2,1,7,2023/01/09/12:50:04,00:00:26.0,00:00:28.0,1,OK,-,-,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6.7,5,4.1,0,0,5,2,2.3,5,5,0.5,0,6,8.8,5.6,4.7,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,15,2,10,4,10,9,1,5,2023/01/09/12:50:04,00:00:28.0,00:00:30.0,1,OK,-,-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6.7,4.3,5.2,0,0,5,2,4.6,5.8,4.3,1,0,7,9,5.2,4.1,6.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,16,2,10,4,10,9,1,10,2023/01/09/12:50:04,00:00:30.0,00:00:32.0,1,OK,-,-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6.9,6.4,2.4,0,0,5,2,0,0,5,0.5,0,6,9.5,5.7,4.2,6.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,17,2,10,4,10,2,1,0,2023/01/09/12:50:04,00:00:32.0,00:00:34.0,1,OK,-,-,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6.8,4.6,4.1,0,0,5,2,7.9,5.8,5.2,0.5,0,6,8.1,3.1,5,4.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,18,2,10,4,10,9,1,6,2023/01/09/12:50:04,00:00:34.0,00:00:36.0,1,OK,-,-,0,0,0,1,0,0,0,1,1,0,0,0,0,0,7.2,5.9,5.5,0,0,5,2,6.6,5.4,3.3,1,0,7,8.5,4.2,6.5,6.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,19,2,10,4,10,9,1,-1,2023/01/09/12:50:04,00:00:36.0,00:00:38.0,1,OK,-,-,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7.1,6.5,4.1,0,0,5,2,5.3,5.5,5,2,1.2,5,8.8,1.9,5.4,5.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,20,2,10,4,10,9,1,6,2023/01/09/12:50:04,00:00:38.0,00:00:40.0,1,OK,-,-,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6.5,5.2,2.3,0,0,5,2,7.9,5.1,2.8,2,0.6,5,8.8,5,3.7,3.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,21,2,10,4,10,9,1,8,2023/01/09/12:50:04,00:00:40.0,00:00:42.0,1,OK,-,-,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6.9,5.8,5.3,0,0,5,2,7.8,6.6,0,2,1.2,7,8.2,5.4,4.1,2.8,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320 (1).wav,22,2,10,4,10,2,1,9,2023/01/09/12:50:04,00:00:42.0,00:00:44.0,1,OK,-,-,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7,5.4,4.2,0,0,5,2,5.8,5.9,6.1,1.5,0.7,6,1.8,6.1,4.3,5.6,0
